Datums;AdministrativiTeritorialasVienibasNosaukums;ATVK;ApstiprinataCOVID19infekcija;14DienuKumulativaSaslimstiba
2021.07.12.;Rēzeknes pilsēta;0006000;no 1 līdz 5;no 1 līdz 5
2021.07.12.;Rīga;0001000;227;298
2021.07.12.;Ropažu novads;0044000;no 1 līdz 5;9
2021.07.12.;Salaspils novads;0045000;6;10
2021.07.12.;Saldus novads;0046000;no 1 līdz 5;no 1 līdz 5
2021.07.12.;Saulkrastu novads;0047000;no 1 līdz 5;no 1 līdz 5
2021.07.12.;Siguldas novads;0048000;21;28
2021.07.12.;Smiltenes novads;0049000;no 1 līdz 5;no 1 līdz 5
2021.07.12.;Talsu novads;0051000;no 1 līdz 5;6
2021.07.12.;Tukuma novads;0052000;28;31
2021.07.12.;Valkas novads;0053000;0;0
2021.07.12.;Valmieras novads;0054000;7;18
2021.07.12.;Varakļānu novads;0055000;0;0
2021.07.12.;Ventspils novads;0056000;no 1 līdz 5;no 1 līdz 5
2021.07.12.;Ventspils pilsēta;0007000;14;18
2021.07.13.;Adrese nav norādīta;Nav;…;…
2021.07.13.;Aizkraukles novads;0020000;no 1 līdz 5;no 1 līdz 5
2021.07.13.;Alūksnes novads;0021000;no 1 līdz 5;no 1 līdz 5
2021.07.13.;Augšdaugavas novads;0022000;17;22
2021.07.13.;Ādažu novads;0023000;no 1 līdz 5;no 1 līdz 5
2021.07.13.;Balvu novads;0024000;no 1 līdz 5;no 1 līdz 5
2021.07.13.;Bauskas novads;0025000;8;10
2021.07.13.;Cēsu novads;0026000;10;10
2021.07.13.;Daugavpils pilsēta;0002000;14;20
2021.07.13.;Dienvidkurzemes novads;0027000;no 1 līdz 5;no 1 līdz 5
2021.07.13.;Dobeles novads;0028000;no 1 līdz 5;no 1 līdz 5
2021.07.13.;Gulbenes novads;0029000;no 1 līdz 5;no 1 līdz 5
2021.07.13.;Jelgavas novads;0030000;no 1 līdz 5;no 1 līdz 5
2021.07.13.;Jelgavas pilsēta;0003000;20;23
2021.07.13.;Jēkabpils novads;0031000;10;12
2021.07.13.;Jūrmalas pilsēta;0004000;10;12
2021.07.13.;Krāslavas novads;0032000;14;16
2021.07.13.;Kuldīgas novads;0033000;9;11
2021.07.13.;Ķekavas novads;0034000;9;12
2021.07.13.;Liepājas pilsēta;0005000;9;12
2021.07.13.;Limbažu novads;0035000;6;7
2021.07.13.;Līvānu novads;0036000;no 1 līdz 5;no 1 līdz 5
2021.07.13.;Ludzas novads;0037000;no 1 līdz 5;no 1 līdz 5
2021.07.13.;Madonas novads;0038000;no 1 līdz 5;no 1 līdz 5
2021.07.13.;Mārupes novads;0039000;7;7
2021.07.13.;Ogres novads;0040000;10;11
2021.07.13.;Olaines novads;0041000;no 1 līdz 5;no 1 līdz 5
2021.07.13.;Preiļu novads;0042000;no 1 līdz 5;no 1 līdz 5
2021.07.13.;Rēzeknes novads;0043000;7;9
2021.07.13.;Rēzeknes pilsēta;0006000;no 1 līdz 5;no 1 līdz 5
2021.07.13.;Rīga;0001000;249;289
2021.07.13.;Ropažu novads;0044000;8;10
2021.07.13.;Salaspils novads;0045000;7;8
2021.07.13.;Saldus novads;0046000;no 1 līdz 5;no 1 līdz 5
2021.07.13.;Saulkrastu novads;0047000;no 1 līdz 5;no 1 līdz 5
2021.07.13.;Siguldas novads;0048000;21;23
2021.07.13.;Smiltenes novads;0049000;no 1 līdz 5;no 1 līdz 5
