ut,nombre_unidad_territorial,Total,share_Latvian,share_Russian,share_Belarusian,share_Ukrainian,share_Polish,share_Lithuanian,share_Other,share_misinformed
97,Strenču novads,2837,0.62,0.28,0.05,0.01,0.01,0.01,0.02,0.3100000023841858
98,Engures novads,7116,0.88,0.07,0.01,0.01,0.01,0,0.01,0.09000000357627869
99,Burtnieku novads,7367,0.86,0.09,0.02,0.01,0.01,0,0.01,0.10999999940395355
100,Ventspils novads,10821,0.9,0.05,0.01,0.02,0,0.01,0.01,0.07999999821186066
101,Beverīnas novads,2924,0.89,0.07,0.02,0,0.01,0.01,0.01,0.07999999821186066
102,Varakļānu novads,2989,0.93,0.05,0,0.01,0,0,0.01,0.07000000029802322
103,Ērgļu novads,2607,0.92,0.04,0.01,0.01,0.01,0,0.01,0.05999999865889549
104,Preiļu novads,9040,0.69,0.26,0.01,0.01,0.01,0,0.02,0.28999999165534973
105,Vārkavas novads,1790,0.87,0.1,0,0,0.01,0,0.02,0.11999999731779099
106,Ķekavas novads,24310,0.74,0.16,0.02,0.02,0.01,0.01,0.04,0.2199999988079071
107,Lubānas novads,2145,0.96,0.02,0,0,0,0,0.01,0.029999999329447746
108,Ciblas novads,2355,0.77,0.18,0.01,0.01,0,0,0.02,0.20999999344348907
109,Cēsu novads,16291,0.88,0.08,0.01,0.01,0.01,0,0.01,0.10000000149011612
110,Nīcas novads,3092,0.93,0.03,0.01,0.01,0,0.01,0.01,0.05000000074505806
111,Jaunpils novads,2137,0.94,0.02,0.01,0,0,0.02,0.01,0.029999999329447746
112,Rucavas novads,1448,0.91,0.02,0,0.01,0,0.04,0.01,0.03999999910593033
113,Gulbenes novads,19748,0.88,0.08,0.01,0.01,0.01,0,0.01,0.10000000149011612
114,Jēkabpils novads,4155,0.88,0.08,0.01,0.01,0.01,0.01,0.01,0.10000000149011612
115,Rēzekne,27613,0.48,0.42,0.01,0.01,0.02,0,0.05,0.47999998927116394
116,Rēzeknes novads,24080,0.59,0.35,0.01,0.01,0.01,0,0.02,0.3799999952316284
117,Olaines novads,19686,0.46,0.37,0.05,0.03,0.02,0.01,0.05,0.44999998807907104
118,Lielvārdes novads,9596,0.86,0.08,0.02,0.01,0.01,0.01,0.02,0.10999999940395355
119,Vecpiebalgas novads,3550,0.93,0.05,0.01,0,0.01,0,0.01,0.05999999865889549
